Statement,Response,Proportion
I try to buy British food whenever I can,Strongly agree,0.17
I try to buy British food whenever I can,Agree,0.42
I try to buy British food whenever I can,Neither agree nor disagree,0.31
I try to buy British food whenever I can,Disagree,0.08
I try to buy British food whenever I can,Strongly disagree,0.02
British food tends to be more expensive than imported food,Strongly agree,0.11
British food tends to be more expensive than imported food,Agree,0.31
British food tends to be more expensive than imported food,Neither agree nor disagree,0.46
British food tends to be more expensive than imported food,Disagree,0.11
British food tends to be more expensive than imported food,Strongly disagree,0.01
I usually check the label to see which country my groceries come from,Strongly agree,0.14
I usually check the label to see which country my groceries come from,Agree,0.33
I usually check the label to see which country my groceries come from,Neither agree nor disagree,0.27
I usually check the label to see which country my groceries come from,Disagree,0.20
I usually check the label to see which country my groceries come from,Strongly disagree,0.05
I think that British food tastes better,Strongly agree,0.12
I think that British food tastes better,Agree,0.27
I think that British food tastes better,Neither agree nor disagree,0.48
I think that British food tastes better,Disagree,0.10
I think that British food tastes better,Strongly disagree,0.02
It's important to support British farmers,Strongly agree,0.29
It's important to support British farmers,Agree,0.49
It's important to support British farmers,Neither agree nor disagree,0.18
It's important to support British farmers,Disagree,0.03
It's important to support British farmers,Strongly disagree,0.01
I'm prepared to pay more for British food,Strongly agree,0.09
I'm prepared to pay more for British food,Agree,0.29
I'm prepared to pay more for British food,Neither agree nor disagree,0.38
I'm prepared to pay more for British food,Disagree,0.20
I'm prepared to pay more for British food,Strongly disagree,0.04
